침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
,,,,Like 이발소,일반이용업,,2026-04-02,,,,203662.657632532,452563.637864286,2026-04-03 03:03:03,U,02,폐업,,2026-04-02 16:42:31,2025-01-03,.00,130-817,서울특별시 동대문구 용두동 39-575,N,,3050000-203-2025-00001,3050000,"서울특별시 동대문구 천호대로37길 49, 1층 103호 (용두동)",02562,03,폐업,일반이용업,,,,,
0,0,,0,비비 바버샵,일반이용업,2,,,,,182952.408473266,463589.642342925,2026-04-03 03:03:03,U,01,영업,0,2026-04-02 13:52:29,2021-05-03,47.12,410-821,경기도 고양시 일산동구 식사동 1588 동국타워 103호,N,0,3960100-203-2021-00003,3940000,"경기도 고양시 일산동구 위시티로 18, 동국타워 103호 (식사동)",10324,01,영업/정상,일반이용업,,0,0,0,0
0,0,임대,0,대성이용소,일반이용업,3,,,,,386225.801267889,451995.930010207,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:19:50,1970-09-21,38.80,,강원특별자치도 동해시 발한동 302-1,N,,4211000-203-1970-00002,4211000,강원특별자치도 동해시 중앙시장길 18 (발한동),25715,01,영업/정상,일반이용업,033-533-0478,0,0,0,0
0,0,임대,0,창영이용소,일반이용업,3,,,,,388226.026194421,444178.964871939,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:12:01,1970-05-28,35.61,,강원특별자치도 동해시 구미동 524-16,N,,4211000-203-1970-00004,4211000,강원특별자치도 동해시 대동로 92 (구미동),25792,01,영업/정상,일반이용업,033-521-5681,0,0,0,0
0,0,,0,권이용소,일반이용업,0,,,,,386119.270215345,451959.582863277,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:10:24,1980-12-23,.00,,강원특별자치도 동해시 발한동 299-9 7통2반,N,,4211000-203-1980-00001,4211000,강원특별자치도 동해시 발한로 248-2 (발한동),25720,01,영업/정상,일반이용업,033-532-3829,0,0,0,0
0,0,임대,0,현대이용소,일반이용업,3,2026-02-19,,,,387172.220815725,448250.142440578,2026-04-03 03:03:03,U,02,폐업,,2026-04-02 09:13:01,1986-08-04,49.14,,강원특별자치도 동해시 천곡동 963-12,N,,4211000-203-1986-00003,4211000,강원특별자치도 동해시 감추1길 7 (천곡동),25777,03,폐업,일반이용업,033-533-6292,0,0,0,0
0,2,자가,1,태양이용소,일반이용업,0,,,,,386671.753706762,448820.824659876,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:10:05,1986-11-04,27.03,,강원특별자치도 동해시 천곡동 1077-1 삼성상가 105호,N,,4211000-203-1986-00005,4211000,"강원특별자치도 동해시 대학로 31, 105호 (천곡동, 삼성상가)",25760,01,영업/정상,일반이용업,033-532-9854,0,0,0,0
0,3,임대,0,보람이용소,일반이용업,2,,,,,386333.789936119,451868.58367361,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:11:42,1988-12-26,30.26,,강원특별자치도 동해시 발한동 15-11,N,,4211000-203-1988-00001,4211000,"강원특별자치도 동해시 일출로 9-1, 1층 (발한동)",25720,01,영업/정상,일반이용업,033-533-7755,1,0,1,0
0,0,임대,0,효성이용소,일반이용업,3,,,,,386542.688276007,445822.894083775,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:12:40,1989-01-17,35.43,,강원특별자치도 동해시 효가동 237,N,,4211000-203-1989-00001,4211000,강원특별자치도 동해시 효가로 4 (효가동),25801,01,영업/정상,일반이용업,033-522-3797,0,0,0,0
0,0,,0,신세계이용소,일반이용업,0,,,,,386558.554587329,448429.471114493,2026-04-03 03:03:03,U,01,영업,,2026-04-02 09:18:58,1994-11-25,35.70,,강원특별자치도 동해시 천곡동 1040-15,N,,4211000-203-1994-00003,4211000,강원특별자치도 동해시 동굴로 61-16 (천곡동),25771,01,영업/정상,일반이용업,033-535-3595,0,0,0,0
