사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
내안에병원,정신병원,,284004.108457156,426211.92172411,2026-04-03 03:03:03,U,1,정상,3635.19,19,48,2026-04-02 15:16:12,,2009-10-28,3635.19,,,,,의사,시도,200964200002000008,6530000,"강원특별자치도 원주시 남원로 562-5,  (개운동)층 (개운동)",,01,영업/정상,205,,,033-733-1199
온재병원,종합병원,,338197.766804118,522865.442373193,2026-04-03 03:03:03,U,1,정상,13384.2,130,99,2026-04-02 15:17:44,,2010-04-05,13384.2,,,,,,시도,201064200002000005,6530000,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원층 (교동)",,01,영업/정상,352,,,033-639-8500
영광재활병원,병원,,287814.956845904,426438.392178082,2026-04-03 03:03:03,U,1,정상,2891,35,23,2026-04-02 15:17:27,,2011-02-23,2891,,,,,의사,시도,201164200002000001,6530000,"강원특별자치도 원주시 오리현길 236-0,  (행구동)층 (행구동)",,01,영업/정상,94,,,033-746-4100
원주효요양병원,요양병원(일반요양병원),,283756.782954782,428388.408815569,2026-04-03 03:03:03,U,1,정상,1520,7,14,2026-04-02 15:13:50,,2011-10-28,1520,,,,,,시도,201164200002000006,6530000,"강원특별자치도 원주시 원일로 176-1,  (학성동)층 (학성동)",,01,영업/정상,79,,,033-747-6701
동해요양병원,요양병원(일반요양병원),,386974.192783286,448557.45116627,2026-04-03 03:03:03,U,1,정상,6534.43,42,47,2026-04-02 15:25:41,,2015-12-24,6534.43,,강원특별자치도 동해시 천곡동  884번지 0호 동해요양병원 0호,,,,시도,201564200002000008,6530000,"강원특별자치도 동해시 중앙로 218-0, 동해요양병원층 (천곡동,동해요양병원)",,01,영업/정상,289,,,033-531-2500
연세메디하임병원,병원,,274818.689682307,425238.051595747,2026-04-03 03:03:03,U,1,정상,5872,52,51,2026-04-02 15:16:54,,2016-08-01,5872,,,,,의사,시도,201664200002000003,6530000,"강원특별자치도 원주시 문막읍 원문로 1419-0, 연세메디하임병원층",,01,영업/정상,230,,,033-740-8800
철원병원,병원,,226929.100240543,516412.772602971,2026-04-03 03:03:03,U,1,정상,6440.45,32,33,2026-04-02 15:17:10,,2017-11-01,6440.45,,,,,의사,시도,201764200002000004,6530000,강원특별자치도 철원군 갈말읍 명성로 208-0,,01,영업/정상,88,,,033-452-5011
의료법인 청강의료재단 청강요양병원,요양병원(일반요양병원),,,,2026-04-03 03:03:03,U,1,정상,3266.12,6,35,2026-04-02 15:16:39,,2020-07-02,3266.12,,,,,,시도,202064200002000001,6530000,강원특별자치도 횡성군 강림면 주천강로강림3길 26-4,,01,영업/정상,77,,,033-344-1111
본베스트병원,병원,,282361.656343235,426273.540502002,2026-04-03 03:03:03,U,1,정상,2197.54,18,24,2026-04-02 15:08:47,,2020-08-28,2197.54,,,,,의사,시도,202064200002000002,6530000,"강원특별자치도 원주시 능라동길 51-0,  6~7층 (무실동)층 (무실동)",,01,영업/정상,86,,,033-742-7766
한가온한방병원,한방병원,,365401.686801998,475287.218473391,2026-04-03 03:03:03,U,1,정상,2004.1,19,25,2026-04-02 15:25:38,,2020-09-01,2004.1,,,,,한의사,시도,202064200002000003,6530000,"강원특별자치도 강릉시 솔올로 35-0, 3층~6층층 (교동)",,01,영업/정상,66,,,033-655-7579
