"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","분뇨수집운반업","09_30_10_P","3390000","339000053199500002","1978-07-04","","01","영업/정상","11","영업","","","","","051-301-7778","","","부산광역시 사상구 엄궁동 643-8 철강판매단지 202호","부산광역시 사상구 강변대로532번길 41, 철강판매단지 202호 (엄궁동)","47031","(주)새부산환경","2026-02-03 09:13:07","U","2026-02-06 02:40:00","","379225.358306865","183207.467245556","분뇨등관련영업관리","","","","","0","","0",
"2","분뇨수집운반업","09_30_10_P","3820000","382000053100000005","1995-12-26","","01","영업/정상","11","영업","","","","","031-873-4245","","","경기도 의정부시 장암동 20 장암동아아파트 상가동 204호","경기도 의정부시 장곡로 248, 장암동아아파트 상가동 204호 (장암동)","11718","(주)의정부환경","2026-02-02 09:26:01","U","2026-02-04 02:40:00","","204682.120477216","469188.296076335","분뇨등관련영업관리","","","","","0","","0",
"3","분뇨수집운반업","09_30_10_P","3450000","345000053200100005","2001-04-02","","01","영업/정상","11","영업","","","","","053-944-1133","","","대구광역시 북구 고성동2가 113-2","대구광역시 북구 고성로 142, 태평빌딩 3층 (고성동2가)","41596","(합자)성북위생","2026-02-11 13:40:06","U","2026-02-13 02:40:00","","342739.079006892","265678.94499247","분뇨등관련영업관리","","","","","0","","0",
"4","분뇨수집운반업","09_30_10_P","5060000","506000053200800001","2008-04-01","","01","영업/정상","11","영업","","","","","0544343939","","","경상북도 김천시 성내동 69-38 금릉위생(합)","경상북도 김천시 충효3길 29 (성내동)","39586","금릉위생(합)","2026-02-02 15:35:12","U","2026-02-04 02:40:00","사람 분뇨 처리업","300778.529104323","292011.157922506","분뇨등관련영업관리","사람 분뇨 처리업","","","","0","","0",
"5","분뇨수집운반업","09_30_10_P","4490000","449000053199900011","1999-01-11","","01","영업/정상","11","영업","","","","","041-577-0248","","","충청남도 천안시 동남구 병천면 용두리 559","충청남도 천안시 동남구 병천면 매봉로 220-7","31257","능수환경","2026-02-13 10:58:24","U","2026-02-15 02:40:00","","227641.858054719","360731.165384559","분뇨등관련영업관리","","","","","0","","0",
"6","분뇨수집운반업","09_30_10_P","5150000","515000053200000002","1987-10-20","","01","영업/정상","11","영업","","","","","054 861 0545","","","경상북도 의성군 의성읍 철파리 546-4","경상북도 의성군 의성읍 경북대로 5763","37334","합동위생사","2026-01-30 09:18:29","U","2026-02-04 11:04:37","","351024.832834983","318505.515933565","분뇨등관련영업관리","","","","","0","","0",
"7","분뇨수집운반업","09_30_10_P","5150000","515000053200000003","1991-06-10","","01","영업/정상","11","영업","","","","","054 834 2616","","","경상북도 의성군 의성읍 후죽리 728-2","경상북도 의성군 의성읍 동서2길 14, 3층","37338","극동사 청년정화조","2026-02-05 21:20:54","U","2026-02-07 02:40:00","","352140.711629125","317952.717991574","분뇨등관련영업관리","","","","","0","","0",
"8","분뇨수집운반업","09_30_10_P","3460000","346000053200800002","2008-04-04","","01","영업/정상","11","영업","","","","","7660807","","706-852","대구광역시 수성구 황금동 760-14","대구광역시 수성구 희망로 189 (황금동)","","(주)달구벌위생","2026-02-02 15:26:17","U","2026-02-04 02:40:00","분뇨 처리업","346245.585556748","261953.80532797","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"9","분뇨수집운반업","09_30_10_P","4930000","493000053199300001","1993-04-26","","01","영업/정상","11","영업","","","","","061-536-5966","","536-806","전라남도 해남군 해남읍 용정리 91-6","전라남도 해남군 해남읍 용머리길 21-20","536-806","대흥정화사","2026-02-13 11:36:03","U","2026-02-15 02:40:00","","162013.837093879","118172.573034898","분뇨등관련영업관리","","","","","0","","0",
"10","분뇨수집운반업","09_30_10_P","3550000","355000053199500005","1995-12-15","","01","영업/정상","11","영업","","","","","032 552 3700","","407-800","인천광역시 계양구 계산동 31-4 203호","인천광역시 계양구 장제로809번길 9, 203호 (계산동)","","영일환경주식회사","2026-02-03 10:17:58","U","2026-02-06 02:40:00","","176397.36390085","448730.428896668","분뇨등관련영업관리","","","","","0","","0",
