"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","원목생산업","09_27_02_P","4890000","489000090202600001","2026-02-02","","01","영업/정상","1","정상","","","","","061-853-3285","","","전라남도 보성군 미력면 도개리 959-4","전라남도 보성군 미력면 농공길 41","59443","(주)우리이엔씨","2026-02-02 13:42:36","I","2026-02-04 00:20:02","","208115.300132176","144083.120656657","원목생산업","1종","","","0","0","영업",
"2","원목생산업","09_27_02_P","4170000","417000090202600002","2026-02-02","","01","영업/정상","1","정상","","","","","","","","","경기도 양평군 서종면 해학골길 24","12501","***","2026-02-02 18:15:22","I","2026-02-04 00:20:02","","236006.041354844","455317.006158041","원목생산업","2종","","1","0","10","영업",
"3","원목생산업","09_27_02_P","4170000","417000090202600001","2026-02-02","","01","영업/정상","1","정상","","","","","","","","","경기도 양평군 용문면 용문로 537, 202호","12514","***","2026-02-02 18:13:30","I","2026-02-04 00:20:02","","253345.50993763","444172.873279717","원목생산업","1종","원목","6","0","50","영업",
"4","원목생산업","09_27_02_P","5180000","518000090202600001","2026-02-02","","01","영업/정상","1","정상","","","","","054-232-8207","","","경상북도 영덕군 영덕읍 덕곡리 156-2","경상북도 영덕군 영덕읍 중앙길 96-16","36432","삼정에코림(주)","2026-02-02 13:44:08","I","2026-02-04 00:20:02","","412517.977475997","326024.020683907","원목생산업","1종","벌채(벌채량 제한없음)","","0","500","영업",
"5","원목생산업","09_27_02_P","4900000","490000090202400001","2024-01-04","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 동복면 상가길 186","58102","***","2026-02-02 10:24:00","U","2026-02-04 02:40:00","","216240.061203882","179243.206983292","원목생산업","2종","원목","1명","3000","22","폐업",
"6","원목생산업","09_27_02_P","4920000","492000090201300004","2013-12-27","","03","폐업","3","폐업","","","","","","","","전라남도 장흥군 유치면 봉덕리 284 24통","전라남도 장흥군 유치면 봉덕신덕길 198","529-823","***","2026-02-02 17:43:36","U","2026-02-04 02:40:00","","188869.093996412","146948.131048851","원목생산업","2종","","","0","12","폐업",
"7","원목생산업","09_27_02_P","4920000","492000090201600002","2016-07-12","","03","폐업","3","폐업","","","","","","","","","전라남도 강진군 강진읍 솔치로 245","59244","***","2026-02-02 17:44:27","U","2026-02-04 02:40:00","","177375.493042414","129161.919866654","원목생산업","2종","벌목업(원목생산)","1","0","10","폐업",
"8","원목생산업","09_27_02_P","4900000","490000090201900001","2019-01-15","","01","영업/정상","1","정상","","","","","","","","전라남도 화순군 동복면 한천리 43","전라남도 화순군 동복면 한천2길 48","58102","승리원목","2026-02-02 09:50:33","U","2026-02-04 02:40:00","","211826.512132456","173263.078955391","원목생산업","2종","원목","교육이수자","5000","10","영업",
"9","원목생산업","09_27_02_P","4900000","490000090201300002","2013-10-22","","02","휴업","2","휴업","","","","","","","","광주광역시 동구 운림동 589-2","광주광역시 동구 운림길 68 (운림동)","501-833","성임임업","2026-02-02 11:42:37","U","2026-02-04 02:40:00","","194641.832098091","181687.87523588","원목생산업","2종","","","0","0","휴업",
"10","원목생산업","09_27_02_P","4900000","490000090201300003","2013-10-25","","01","영업/정상","1","정상","","","","","","","","전라남도 화순군 동면 백용리 195-1","전라남도 화순군 동면 화동로 514","58133","천지임업","2026-02-02 09:20:24","U","2026-02-04 02:40:00","","201454.01742298","170660.332085996","원목생산업","2종","","","0","0","영업",
"11","원목생산업","09_27_02_P","4900000","490000090201300004","2013-11-15","","02","휴업","2","휴업","","","","","","","","전라남도 화순군 동면 백용리 179-15","","","***","2026-02-02 10:26:12","U","2026-02-04 02:40:00","","201124.213821132","170627.878627746","원목생산업","2종","","","0","0","휴업",
"12","원목생산업","09_27_02_P","4900000","490000090201400001","2014-09-22","","01","영업/정상","1","정상","","","","","","","","전라남도 화순군 이양면 품평리 1198-1","전라남도 화순군 이양면 이양농공길 16","58165","대한임업(주)","2026-02-02 09:11:19","U","2026-02-04 02:40:00","","199067.008056219","155910.665240519","원목생산업","2종","","","0","0","영업",
"13","원목생산업","09_27_02_P","4900000","490000090201400002","2014-10-08","","02","휴업","2","휴업","","","","","","","","전라남도 화순군 화순읍 신기리 397-9","전라남도 화순군 화순읍 부처샘길 3-12","519-950","***","2026-02-02 10:25:32","U","2026-02-04 02:40:00","","199134.687231127","174304.937320068","원목생산업","2종","","","0","0","휴업",
"14","원목생산업","09_27_02_P","4900000","490000090202200005","2022-10-28","","02","휴업","2","휴업","","","","","","","","","전라남도 화순군 능주면 죽수길 94","58153","***","2026-02-02 10:17:32","U","2026-02-04 02:40:00","","196129.232266321","165859.907099229","원목생산업","2종","원목","","5000","10","휴업",
"15","원목생산업","09_27_02_P","4900000","490000090201900004","2019-11-18","","02","휴업","2","휴업","","","","","","","","","전라남도 화순군 화순읍 부처샘길 3-12","58114","***","2026-02-02 10:20:04","U","2026-02-04 02:40:00","","199134.687231127","174304.937320068","원목생산업","2종","원목","교육이수자","5000","10","휴업",
"16","원목생산업","09_27_02_P","4900000","490000090201900002","2019-10-04","","02","휴업","2","휴업","","","","","","","","","전라남도 화순군 청풍면 곰치로 1951","58162","***","2026-02-02 10:19:37","U","2026-02-04 02:40:00","","197571.206808994","152380.749076766","원목생산업","2종","원목","교육이수","0","10","휴업",
"17","원목생산업","09_27_02_P","4900000","490000090201900003","2019-10-08","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 화순읍 쌍충로 77, 화순군산림조합","58121","***","2026-02-02 11:11:27","U","2026-02-04 02:40:00","","198222.852831761","173309.611275825","원목생산업","1종","원목","경영기술 중급","0","3500","폐업",
"18","원목생산업","09_27_02_P","4900000","490000090202200001","2022-07-01","","03","폐업","3","폐업","","","","","","","","","전라남도 화순군 백아면 와천길 34","58101","***","2026-02-02 10:20:27","U","2026-02-04 02:40:00","","209863.648180943","182180.066349951","원목생산업","2종","원목","교육이수","2000","10","폐업",
"19","원목생산업","09_27_02_P","5440000","544000090202000003","2020-12-28","","03","폐업","3","폐업","","","","","","","","경상남도 하동군 금성면 갈사리 924-29","경상남도 하동군 금성면 내도청도길 140-4","52355","성용호","2026-02-02 10:35:48","U","2026-02-04 02:40:00","","272199.954663239","161568.571747406","원목생산업","1종","원목","2","0","50","폐업",
"20","원목생산업","09_27_02_P","5440000","544000090202300001","2023-06-29","","03","폐업","3","폐업","","","","","","","","경상남도 하동군 금성면 갈사리 628 하동해양파크빌","경상남도 하동군 금성면 산업로 485, 105동 408호 (하동해양파크빌)","52355","주식회사 신일산림입업","2026-02-02 10:36:25","U","2026-02-04 02:40:00","","270646.259117096","162546.248409546","원목생산업","2종","원목(국산재)","","0","0","폐업",
"21","원목생산업","09_27_02_P","5440000","544000090202500002","2025-11-25","","01","영업/정상","1","정상","","","","","","","","경상남도 하동군 진교면 진교리 302-69","경상남도 하동군 진교면 진교중앙길 13-8","52344","주식회사 에덴","2026-02-02 10:33:32","U","2026-02-04 02:40:00","","282361.840345674","170328.340524815","원목생산업","2종","원목(국산재)","산림경영 기술사 1명 이상","5000","170","영업",
"22","원목생산업","09_27_02_P","4400000","440000090202000001","2020-09-03","","03","폐업","3","폐업","","","","","","","","충청북도 제천시 화산동 216-31","충청북도 제천시 숭의로 26, 2층 (화산동)","27184","대호임업","2026-01-30 16:14:16","U","2026-02-04 11:04:37","","307326.175729887","404023.012678006","원목생산업","2종","원목","1","0","20","폐업",
"23","원목생산업","09_27_02_P","4301000","430100090201600001","2016-01-28","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 철원군 서면 와수로 26","","(주)푸른숲","2026-01-30 15:40:55","U","2026-02-04 11:04:37","","","","원목생산업","2종","","","0","0","영업",
"24","원목생산업","09_27_02_P","4301000","430100090201900001","2019-10-02","","01","영업/정상","1","정상","","","","","033-452-8852","","","강원특별자치도 철원군 갈말읍 신철원리 995-6 철원군산림조합","강원특별자치도 철원군 갈말읍 명성로 190-1, 철원군산림조합","24038","철원군산림조합","2026-01-30 16:43:20","U","2026-02-04 11:04:37","","226915.758419647","516239.963029927","원목생산업","1종","","8","0","1237","영업",
"25","원목생산업","09_27_02_P","5340000","534000090201900001","2019-08-29","","03","폐업","3","폐업","","","","","","","","","경상남도 사천시 진삼로 235-3 (죽림동)","52547","***","2026-01-30 15:47:18","U","2026-02-04 11:04:37","","296894.29353767","164845.872638633","원목생산업","2종","원목","원목생산관련교육이수자 1명","5000","10","폐업",
"26","원목생산업","09_27_02_P","4460000","446000090202600001","2026-01-26","","01","영업/정상","1","정상","","","","","","","","충청북도 괴산군 사리면 노송리 170-1","충청북도 괴산군 사리면 사리로송오길 22","28045","정호철","2026-02-04 09:20:17","I","2026-02-06 00:20:02","","258222.725561986","372228.186905957","원목생산업","2종","","","0","0","영업",
"27","원목생산업","09_27_02_P","4820000","482000090202600002","2025-12-22","","01","영업/정상","1","정상","","","","","","","","전라남도 순천시 연향동 1459-3 생오리숯불구이","전라남도 순천시 하대석길 78, 생오리숯불구이 2층층 (연향동)","57982","주식회사 수성원","2026-02-04 10:00:32","I","2026-02-06 00:20:02","","247883.193658675","161245.803121631","원목생산업","1종","","7","0","50","영업",
"28","원목생산업","09_27_02_P","4820000","482000090202600003","2026-02-03","","01","영업/정상","1","정상","","","","","","","","전라남도 순천시 가곡동 1037-3","전라남도 순천시 고지5길 11, 102호 (가곡동)","57924","유한회사 금강임업","2026-02-04 10:27:45","I","2026-02-06 00:20:02","","244152.476648589","165105.991814553","원목생산업","1종","","2","0","50","영업",
"29","원목생산업","09_27_02_P","4890000","489000090202200001","2022-11-29","","01","영업/정상","1","정상","","","","","","","","전라남도 보성군 미력면 반룡리 24","전라남도 보성군 미력면 소룡길 104","59443","푸른소룡","2026-02-03 11:21:37","U","2026-02-06 02:40:00","","210241.750173867","142799.450939837","원목생산업","2종","소나무,참나무,오리나무류","","0","0","영업",
"30","원목생산업","09_27_02_P","5210000","521000090201400004","2014-12-16","","01","영업/정상","1","정상","","","","","","","","경상북도 성주군 용암면 중거리 675","경상북도 성주군 용암면 중거1길 228","40049","장자골농원","2026-02-03 19:54:05","U","2026-02-06 02:40:00","","313437.626223035","265414.805938269","원목생산업","2종","원목","교육이수","0","10","영업",
"31","원목생산업","09_27_02_P","4460000","446000090202400001","2024-09-10","","01","영업/정상","1","정상","","","","","","","","충청북도 괴산군 사리면 화산리 671","충청북도 괴산군 사리면 화산재로2길 63-11","28047","문화임산","2026-02-04 10:58:04","U","2026-02-06 02:40:00","","264931.267370643","367772.975094367","원목생산업","2종","원목","","0","0","영업",
"32","원목생산업","09_27_02_P","4460000","446000090202400002","2024-09-20","","02","휴업","2","휴업","","","","","","","","충청북도 괴산군 문광면 송평리 605","충청북도 괴산군 문광면 괴산로 3419-9","28057","벌목우죽뿌리","2026-02-04 10:59:49","U","2026-02-06 02:40:00","","269434.664263794","365689.570148594","원목생산업","2종","원목","","0","0","휴업",
"33","원목생산업","09_27_02_P","4820000","482000090201300001","2013-06-18","","01","영업/정상","1","정상","","","","","722-3378","","","전라남도 순천시 왕지동 766-23","전라남도 순천시 왕지5길 9-9 (왕지동)","57930","안성원목주식회사","2026-02-04 14:56:08","U","2026-02-06 02:40:00","","247704.245018973","163834.282477098","원목생산업","2종","리기다,육송,편백 등","","5000","10","영업",
"34","원목생산업","09_27_02_P","4820000","482000090201700001","2017-01-18","","01","영업/정상","1","정상","","","","","","","","전라남도 순천시 외서면 신덕리 4-1","전라남도 순천시 외서면 읍성로 155-26","57915","백이산편백","2026-02-04 15:11:09","U","2026-02-06 02:40:00","","227981.067091715","157170.030237605","원목생산업","2종","","","0","0","영업",
"35","원목생산업","09_27_02_P","4820000","482000090201700003","2017-07-06","","01","영업/정상","1","정상","","","","","","","","전라남도 순천시 황전면 죽내리 10 황월주유소, 케노피, 황월종합카센타","전라남도 순천시 황전면 순천로 1704, 황월주유소, 케노피, 황월종합카센타","57901","(주)두일환경","2026-02-04 15:09:24","U","2026-02-06 02:40:00","","240054.759420591","179250.485267626","원목생산업","2종","소나무,편백,삼나무,참나무류","","5000","0","영업",
