"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","미용업","05_18_01_P","3560000","3560000-215-2026-00006","2026-01-30","","01","영업/정상","01","영업","","","","","","14.00","404-230","인천광역시 서구 가정동 617-3 가정봄프라자 205 일부","인천광역시 서구 봉오재3로110번길 7, 가정봄프라자 205 일부호 (가정동)","22883","무드온네일","2026-01-30 17:52:52","I","2026-02-03 01:35:10","네일아트업","170939.259573191","447216.808312272","네일미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"2","미용업","05_18_01_P","3930000","5560000-225-2026-00001","2026-01-16","","01","영업/정상","01","영업","","","","","","33.45","425-839","경기도 안산시 단원구 신길동 1229 리드 스마트스퀘어 지식산업센터 C-277호","경기도 안산시 단원구 산단로 325, 리드 스마트스퀘어 지식산업센터 C-277호 (신길동)","15426","블랙&화이트","2026-02-01 08:45:26","U","2026-02-03 02:40:00","일반미용업","180878.941038538","424612.422892591","일반미용업, 네일미용업, 화장ㆍ분장 미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"3","미용업","05_18_01_P","3930000","5560000-204-2011-00044","2011-06-17","","01","영업/정상","01","영업","","","","","031 482 0173","11.20","425-807","경기도 안산시 단원구 고잔동 704-4 대원빌딩","경기도 안산시 단원구 광덕서로 92, 대원빌딩 2층 207호 일부(207-2)호 (고잔동)","15461","네일존","2026-02-01 08:58:08","U","2026-02-03 02:40:00","네일아트업","184650.470355853","423448.855926698","미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"4","미용업","05_18_01_P","5310000","5310000-211-2026-00004","2026-02-02","","01","영업/정상","01","영업","","","","","","23.00","660-031","경상남도 진주시 충무공동 25-7","경상남도 진주시 에나로77번길 5-12, 104호 일부 (충무공동)","52851","아이비헤어","2026-02-02 16:33:22","I","2026-02-04 00:20:02","일반미용업","303506.369150214","187094.261706333","일반미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"5","미용업","05_18_01_P","4600000","4600000-204-2003-00010","2003-03-14","","01","영업/정상","01","영업","","","","","3323070","39.90","","충청남도 홍성군 홍북읍 신경리 893 내포제나우스오피스텔","충청남도 홍성군 홍북읍 충남대로 24, 내포제나우스오피스텔 110호","32263","헤어디망","2026-02-02 15:14:46","I","2026-02-04 00:20:02","일반미용업","170731.589089611","350580.339350359","미용업","1","0","1","1","0","0","4","","","","임대","0","0","0","N",
"6","미용업","05_18_01_P","3040000","3040000-213-2026-00003","2026-02-02","","01","영업/정상","01","영업","","","","","","30.31","143-849","서울특별시 광진구 능동 249-32","서울특별시 광진구 능동로32길 129, 101호 (능동)","04987","네일로아(nailoa)","2026-02-02 17:05:30","I","2026-02-04 00:20:02","네일아트업","207470.024484097","450074.836653835","종합미용업","0","0","1","1","0","0","2","","","","","0","0","1","N",
"7","미용업","05_18_01_P","3040000","3040000-225-2026-00004","2026-02-02","","01","영업/정상","01","영업","","","","","","52.00","143-190","서울특별시 광진구 자양동 861 자양 호반써밋","서울특별시 광진구 능동로 69, 122호 (자양동, 자양 호반써밋)","05074","아람채 소담","2026-02-02 15:56:07","I","2026-02-04 00:20:02","메이크업업","206014.599715389","448359.990459515","일반미용업, 네일미용업, 화장ㆍ분장 미용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"8","미용업","05_18_01_P","3160000","3160000-213-2026-00006","2026-02-02","","01","영업/정상","01","영업","","","","","","14.00","152-892","서울특별시 구로구 오류동 30-5","서울특별시 구로구 고척로16길 75, 1층 101호 (오류동)","08267","살롱 스위트","2026-02-02 14:14:51","I","2026-02-04 00:20:02","일반미용업","186095.235575464","443933.520710155","종합미용업","0","0","1","1","0","0","1","","","","","0","0","0","N",
"9","미용업","05_18_01_P","3160000","3160000-225-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","53.16","152-796","서울특별시 구로구 고척동 326 청구아파트","서울특별시 구로구 중앙로6길 5-15, 상가동 302호 (고척동, 청구아파트)","08223","고은피부통증케어","2026-02-02 14:49:10","I","2026-02-04 00:20:02","일반미용업","187890.227092532","444378.705296067","일반미용업, 네일미용업, 화장ㆍ분장 미용업","0","0","3","3","0","0","2","","","","","0","0","2","N",
"10","미용업","05_18_01_P","3100000","3100000-211-2026-00004","2026-02-02","","01","영업/정상","01","영업","","","","","","53.12","139-802","서울특별시 노원구 공릉동 338-52","서울특별시 노원구 공릉로33길 16-4, 1층 전체호 (공릉동)","01837","파프롬스터크","2026-02-02 10:47:19","I","2026-02-04 00:20:02","일반미용업","206846.911353356","457793.599394909","일반미용업","0","0","0","0","0","0","2","","","","임대","0","0","0","N",
"11","미용업","05_18_01_P","3210000","3210000-211-2024-00028","2024-03-19","","01","영업/정상","01","영업","","","","","","23.70","137-856","서울특별시 서초구 서초동 1315 2층 215호","서울특별시 서초구 서초대로 389, 2층 215호 (서초동)","06617","강남 붙임머리서안이네","2026-02-02 11:31:05","I","2026-02-04 00:20:02","일반미용업","201930.014907812","443904.461723691","일반미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"12","미용업","05_18_01_P","4341000","4341000-226-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","66.36","","강원특별자치도 고성군 간성읍 하리 16-5","강원특별자치도 고성군 간성읍 간성로 74, 2층","24735","네일잇뷰티","2026-02-02 13:47:26","I","2026-02-04 00:20:02","네일아트업","328105.487034235","542863.644440817","피부미용업, 네일미용업, 화장ㆍ분장 미용업","0","0","2","2","0","0","10","","","","임대","1","0","1","N",
"13","미용업","05_18_01_P","3460000","3460000-212-2026-00008","2026-02-02","","01","영업/정상","01","영업","","","","","","0.00","706-818","대구광역시 수성구 범어동 136-34 2층","대구광역시 수성구 국채보상로186길 51, 2층 (범어동)","42021","아리무드에스테틱","2026-02-02 17:22:13","I","2026-02-04 00:20:02","피부미용업","347451.108688431","264114.082791389","피부미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"14","미용업","05_18_01_P","3680000","3680000-211-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","65.10","306-810","대전광역시 대덕구 석봉동 308-12","대전광역시 대덕구 석봉로3번길 38, 1층 (석봉동)","34317","제이빛헤어","2026-02-02 13:57:59","I","2026-02-04 00:20:02","일반미용업","237727.719718071","327601.355969073","일반미용업","4","0","1","1","0","0","4","","","","임대","1","0","0","N",
"15","미용업","05_18_01_P","3130000","3130000-211-2026-00014","2026-02-02","","01","영업/정상","01","영업","","","","","","0.00","121-854","서울특별시 마포구 신수동 93-212","서울특별시 마포구 광성로 41-1, d동 2,3층 (신수동)","04094","인니트마포","2026-02-02 11:14:38","I","2026-02-04 00:20:02","일반미용업","","","일반미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"16","미용업","05_18_01_P","3130000","3130000-215-2023-00039","2023-07-20","","01","영업/정상","01","영업","","","","","","28.94","121-867","서울특별시 마포구 연남동 383-24","서울특별시 마포구 연희로1길 51, 3층 1호 (연남동)","03982","농사피엔스 네일","2026-02-02 13:20:50","I","2026-02-04 00:20:02","네일아트업","193399.441791361","450990.254477454","네일미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"17","미용업","05_18_01_P","3940000","4100100-212-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","031 924 9242","80.20","411-410","경기도 고양시 일산서구 대화동 2606 고양 원마운트 2090호","경기도 고양시 일산서구 한류월드로 300, 고양 원마운트 2090호 (대화동)","10392","더 엘 뷰티랩(The L Beauty Lab)","2026-02-02 15:32:31","I","2026-02-04 00:20:02","피부미용업","178268.135568909","462480.734362689","피부미용업","0","0","0","0","0","0","3","","","","","0","0","3","N",
