침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
,4,임대,1,미앤끼,일반미용업,3,2026-04-15,,,,211682.88095408,447969.252693155,2026-04-16 03:03:03,U,02,폐업,,2026-04-15 16:36:42,2001-04-13,26.40,134-888,서울특별시 강동구 성내동 383-1,N,,3240000-204-2001-00057,3240000,서울특별시 강동구 천호대로170길 33 (성내동),05381,03,폐업,미용업,02-472-1519,1,,1,
6,0,,0,제이 에스테틱,피부미용업,6,2026-04-15,,,,171310.683477374,454523.52967931,2026-04-16 03:03:03,U,02,폐업,,2026-04-15 10:53:13,2014-04-09,51.86,404-310,인천광역시 서구 당하동 1095-7 강남프라자 203호,N,,3560000-212-2014-00006,3560000,"인천광역시 서구 청마로167번길 8 (당하동, 강남프라자 203호)",22677,03,폐업,피부미용업,032-567-2556,2,,2,
1,0,,1,다옴네일,네일아트업,4,,,,,212653.322276775,437488.787120773,2026-04-16 03:03:03,U,01,영업,,2026-04-15 10:29:26,2012-11-01,24.00,461-863,경기도 성남시 수정구 신흥동 4225-1 D동 나열 13호,N,,3790000-213-2012-00032,3780000,"경기도 성남시 수정구 산성대로 지하 227-10, D동 나열 13호 (신흥동)",13345,01,영업/정상,종합미용업,,0,1,0,1
0,2,임대,0,헤어메이드,일반미용업,3,,,,,152901.18064048,469454.578078118,2026-04-16 03:03:03,U,01,영업,0,2026-04-15 11:07:56,2016-01-14,90.18,417-822,인천광역시 강화군 선원면 선행리 370-7,N,0,3570000-211-2016-00001,3570000,"인천광역시 강화군 선원면 시리미로 119, 3동 1층",23039,01,영업/정상,일반미용업,,1,0,1,0
0,2,임대,1,헤어살롱 나무,일반미용업,5,2026-04-15,,,,192195.785617706,453277.533175364,2026-04-16 03:03:03,U,02,폐업,,2026-04-15 17:51:29,2013-11-06,49.50,120-814,서울특별시 서대문구 북가좌동 326-1,N,,3120000-211-2013-00034,3120000,"서울특별시 서대문구 응암로 99, 1층 (북가좌동)",03678,03,폐업,일반미용업,02-303-0075,1,,1,
0,2,,0,리챠드프로헤어 압구정점,일반미용업,18,2026-04-15,,,,203069.441212025,447391.130408384,2026-04-16 03:03:03,U,02,폐업,0,2026-04-15 13:18:20,2016-07-07,232.90,135-896,서울특별시 강남구 신사동 638-6,N,0,3220000-211-2016-00055,3220000,"서울특별시 강남구 압구정로 312, 2층 (신사동)",06017,03,폐업,일반미용업,02-6207-9743,,,,
0,0,,0,헤이퀸네일 부평점,네일아트업,2,2026-04-15,,,,175480.602287624,444012.370127584,2026-04-16 03:03:03,U,02,폐업,0,2026-04-15 10:59:46,2024-10-07,27.50,403-819,인천광역시 부평구 부평동 374-1 부평한라비발디 129호 일부호,N,0,3540000-215-2024-00042,3540000,"인천광역시 부평구 대정로 7, 부평한라비발디 129호 일부호 (부평동)",21390,03,폐업,네일미용업,,,,,
0,0,,0,보네르네일 부평점,메이크업업,0,,,,,175353.287690183,444553.365293427,2026-04-16 03:03:03,U,01,영업,,2026-04-15 17:42:37,2023-02-22,25.59,403-826,인천광역시 부평구 부평동 431-42 DH 씨밀레 1층 102호,N,,3540000-222-2023-00001,3540000,"인천광역시 부평구 부평대로 128, 1층 102호 (부평동, DH 씨밀레)",21358,01,영업/정상,"네일미용업, 화장ㆍ분장 미용업",,0,0,0,0
1,0,,0,소유랩 용인역북점(SOYU LAB.)소유랩뷰티브로우,메이크업업,1,,,,,216590.098073735,414354.489970919,2026-04-16 03:03:03,U,01,영업,0,2026-04-15 13:45:58,2022-06-10,10.00,449-933,경기도 용인시 처인구 역북동 760,N,0,5620000-213-2022-00010,4050000,"경기도 용인시 처인구 명지로60번길 8-4, 1층 114호 일부호 (역북동)",17056,01,영업/정상,종합미용업,,0,0,0,0
0,0,,0,푸치네일,네일아트업,2,2026-04-15,,,,173552.310556009,438905.868022571,2026-04-16 03:03:03,U,02,폐업,0,2026-04-15 09:41:58,2022-08-11,7.23,405-835,인천광역시 남동구 구월동 1130 CGV 홈플러스 4호,N,0,3530000-215-2022-00022,3530000,"인천광역시 남동구 예술로 198, CGV 홈플러스 1층 4호 (구월동)",21558,03,폐업,네일미용업,,,,,
0,0,,0,헤어나드림 강화점,일반미용업,5,,,,,154351.364660337,471738.741688977,2026-04-16 03:03:03,U,01,영업,,2026-04-15 11:07:09,1999-05-19,156.00,417-807,인천광역시 강화군 강화읍 신문리 205,N,,3570000-204-1999-00005,3570000,인천광역시 강화군 강화읍 남문안길32번길 8 (1층),23033,01,영업/정상,미용업,032-934-7450,0,0,0,0
