사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
(주)국전약품,2088125074,5종,,,,,2026-05-22 03:03:03,U,01,영업,250,10,대기배출업소관리,2026-05-21 13:39:13,2012-10-05,,"경기도 화성시 향남읍 하길리  1408-3,16",641000001201200151,6410000,,0,,경기도 화성시 향남읍 발안공단로 8,,,01,영업/정상,,,031-352-8179,의약용 화합물 및 항생물질 제조업
재단법인 강동문화재단,6758200265,5종,공연시설 운영업,,213853.435992646,449876.645981578,2026-05-22 03:03:03,U,11,영업,90,4,대기배출업소관리,2026-05-21 09:25:21,2021-12-14,,서울특별시 강동구 상일동 477 강동아트센터,324000021202100008,3240000,,90,,"서울특별시 강동구 동남로 870, 강동아트센터 2층 (상일동)",05278,,01,영업/정상,,,02-440-0501,공연시설 운영업
청담중학교,1208300383,,중학교,2026-05-20,203938.757156485,447402.859078757,2026-05-22 03:03:03,U,4,폐쇄,300,8,대기배출업소관리,2026-05-21 09:03:14,2025-01-10,,서울특별시 강남구 청담동 143,322000021202400004,3220000,,300,,서울특별시 강남구 압구정로61길 36 (청담동),,,04,취소/말소/만료/정지/중지,,,02-511-5151,중학교
역삼중학교,2208300081,5종,중학교,2026-05-20,204251.5760337,443717.070637484,2026-05-22 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-05-21 09:03:24,2025-01-10,,서울특별시 강남구 역삼동 767-20,322000021202400015,3220000,,365,,서울특별시 강남구 도곡로43길 10 (역삼동),,,04,취소/말소/만료/정지/중지,,,02-558-1503,중학교
서울일원초등학교,2138300104,5종,초등 교육기관,2026-05-20,206686.926722377,443036.539209868,2026-05-22 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-05-21 09:03:32,2025-01-10,,서울특별시 강남구 일원동 691,322000021202500010,3220000,,365,,서울특별시 강남구 영동대로4길 20 (일원동),,,04,취소/말소/만료/정지/중지,,,,초등 교육기관
서울대곡초등학교,1208300059,5종,초등학교,2026-05-20,205693.98933702,443579.957773919,2026-05-22 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-05-21 09:03:59,2025-01-10,,서울특별시 강남구 대치동 510,322000021202500011,3220000,,365,,서울특별시 강남구 남부순환로 3022 (대치동),,,04,취소/말소/만료/정지/중지,,,02-565-1945,초등학교
서울언주초등학교,2138300287,5종,초등학교,2026-05-20,203217.823653193,442706.390139739,2026-05-22 03:03:03,U,4,폐쇄,365,24,대기배출업소관리,2026-05-21 09:05:09,2025-01-13,,서울특별시 강남구 도곡동 922 언주초등학교,322000021202500017,3220000,,365,,"서울특별시 강남구 남부순환로363길 19, 언주초등학교 (도곡동)",06268,,04,취소/말소/만료/정지/중지,,,02-3462-5285,초등학교
(합)세기자동차,1318101767,4종,자동차 종합 수리업,,167699.779078902,437674.81812762,2026-05-22 03:03:03,U,11,영업,0,0,대기배출업소관리,2026-05-21 16:29:00,2000-12-14,,인천광역시 미추홀구 학익동 587-70,351050021198000005,3510500,,0,,인천광역시 미추홀구 아암대로253번길 37 (학익동),,,01,영업/정상,,,032-832-3301,자동차 종합 수리업
강원금속,2050991206,4종,도금업,2026-05-21,169561.732237117,443321.170441095,2026-05-22 03:03:03,U,2,폐업,0,0,대기배출업소관리,2026-05-21 16:30:44,1993-03-19,,인천광역시 서구 가좌동 178-148,356000021199301252,3560000,,0,,인천광역시 서구 백범로934번길 38-10 (가좌동),,,03,폐업,,,032-575-4839,도금업
(주)장형기업,1368113652,4종,건설 폐기물 수집운반업,,164745.469125543,453661.180004144,2026-05-22 03:03:03,U,11,영업,330,10,대기배출업소관리,2026-05-21 10:45:44,2016-10-20,,인천광역시 서구 오류동 1524 외 4필지,356000021201600064,3560000,재활용품,330,,인천광역시 서구 검단천로 203 (오류동),,,01,영업/정상,,,032-562-1658,건설 폐기물 수집운반업
