축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물판매업,주식회사 겟인쉐이프,축산물유통전문판매업,,206607.237031719,448442.716224072,2026-05-22 03:03:03,U,0000,정상,2026-05-21 10:21:01,,2026-01-21,.78,,서울특별시 광진구 자양동 227-17,축산물유통전문판매업,304000000920260002,3040000,L00,"서울특별시 광진구 아차산로 294, 4층 (자양동)",05066,,01,영업/정상,,,070-8058-8446
,축산물판매업,노벨식품,식육판매업,2026-05-21,183179.419906965,446938.375793801,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 15:29:56,,2015-03-09,49.35,,경기도 부천시 오정구 원종동 341-14,식육판매업,386000000920150007,3860000,000,"경기도 부천시 오정구 원종로93번길 10, 1층 (원종동)",14418,,03,폐업,,,032-681-1971
,축산물판매업,서진정육 야채청과,식육판매업,2026-05-21,216299.910059743,450859.564600686,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 14:49:33,,2020-09-18,30.4,,경기도 하남시 망월동 1066-1 광장프라자,식육판매업,404000000920200072,4040000,000,"경기도 하남시 미사강변남로 31, 광장프라자 106호 (망월동)",12914,,03,폐업,,,031-796-4945
,축산물판매업,예술소주식회사,축산물유통전문판매업,2026-05-21,214735.497264213,436756.399874573,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 17:30:09,,2022-11-10,148,,경기도 성남시 중원구 상대원동 517-13 중앙인더스피아 5층 501호,축산물유통전문판매업,378000000920230114,3780000,L00,"경기도 성남시 중원구 둔촌대로 449, 중앙인더스피아 5층 501호 (상대원동)",13219,,03,폐업,,,
,축산물판매업,(주)조은축산 농업회사법인,식육판매업,2026-05-21,203415.229144488,451832.170219009,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 13:42:45,,2003-04-02,26.88,,서울특별시 성동구 마장동 487-55 1층,식육판매업,303000000920030046,3030000,L00,"서울특별시 성동구 마장로35나길 2, 1층 (마장동)",04754,,03,폐업,,,22818715
,축산물판매업,농업회사법인(주)알로팜,축산물유통전문판매업,2026-04-22,208958.895018422,419810.294014758,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 11:43:35,,2016-02-04,0,,,축산물유통전문판매업,563000000920160005,4050000,L00,경기도 용인시 기흥구 신정로 105-11 (신갈동),17093,,03,폐업,,,031-673-9929
,축산물판매업,(주)한스앤컴퍼니,축산물유통전문판매업,2026-05-21,193800.533567745,449149.097449407,2026-05-22 03:03:03,U,0002,폐업,2026-05-21 13:17:17,,2014-05-18,0,,서울특별시 마포구 신정동 28-2,축산물유통전문판매업,313000000920140003,3130000,L00,"서울특별시 마포구 창전로 20, 2층 (신정동, 성진빌딩)",04093,,03,폐업,,,1544-5212
,축산물판매업,백암식품,식육부산물전문판매업,,189644.677401933,470941.83738107,2026-05-22 03:03:03,U,0000,정상,2026-05-21 11:17:23,,2025-04-17,131.88,,경기도 파주시 광탄면 용미리 170-23,식육부산물전문판매업,406000000920250010,4060000,000,경기도 파주시 광탄면 세류길 89,10955,,01,영업/정상,,,
,축산물판매업,(주)요아정,축산물유통전문판매업,,204167.12658461,451046.730531167,2026-05-22 03:03:03,U,0000,정상,2026-05-21 08:18:28,,2025-01-15,24.5,,서울특별시 성동구 사근동 217-3,축산물유통전문판매업,303000000920250006,3030000,L00,"서울특별시 성동구 사근동11길 7, 1층 (사근동)",04761,,01,영업/정상,,,
,축산물판매업,에그다(EGGDA),식용란수집판매업,,179291.307072567,434896.546217102,2026-05-22 03:03:03,U,0000,정상,2026-05-21 18:13:41,,2020-04-07,220,,경기도 시흥시 방산동 478-1,식용란수집판매업,401000000920220008,4010000,000,"경기도 시흥시 다지골길 14, 2동 (방산동)",14957,,01,영업/정상,,,
