사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
하스,,201176.159311432,442917.346139861,2026-05-22 03:03:03,U,13,영업중,2026-05-21 13:41:52,,2017-11-27,,서울특별시 서초구 서초동 ****-* 한성빌딩,PHMG120173210034047000200,3210000,"서울특별시 서초구 사임당로 **, 한성빌딩 *층 ****호 (서초동)",06650,01,영업/정상,,,02-538-2300,5
세븐일레븐 이태원2호점,,199562.755451973,447997.661774591,2026-05-22 03:03:03,U,13,영업중,2026-05-21 15:47:26,,2021-05-04,,,PHMG120213020033047000051,3020000,"서울특별시 용산구 우사단로 **, 이태원의원 (이태원동)",04405,01,영업/정상,,,,
광성메디맥스,2026-05-21,204247.213401781,461131.830916668,2026-05-22 03:03:03,U,03,폐업,2026-05-21 15:04:49,,2024-09-06,,서울특별시 도봉구 창동 *-* KING 프라자,PHMG120243090033047000044,3090000,"서울특별시 도봉구 마들로**가길 **, KING 프라자 ****호 (창동)",01414,03,폐업,,,,
(주)코리아세븐 송탄서해점,,204958.841633476,396010.665874374,2026-05-22 03:03:03,U,13,영업중,2026-05-21 18:48:44,,2024-09-26,,경기도 평택시 서정동 ***,PHMG120243910165047000046,3910000,"경기도 평택시 점촌*로**번길 **, *층 (서정동)",17777,01,영업/정상,,,,98.06
OK보청기,,204362.415829342,449572.961720449,2026-05-22 03:03:03,U,13,영업중,2026-05-21 13:24:02,,2016-01-18,,서울특별시 성동구 성수동*가 *** 성수*차대우아파트,PHMG120163030033047000002,3030000,"서울특별시 성동구 상원*길 **, 성수*차대우아파트 상가동 *층 ***호 (성수동*가)",04790,01,영업/정상,,,,27
세븐일레븐 송담힐스테이트점,,193567.040788923,386161.280079734,2026-05-22 03:03:03,U,13,영업중,2026-05-21 09:25:14,,2021-05-11,,경기도 평택시 안중읍 송담리 *** 힐스테이트 송담,PHMG120213910168047000069,3910000,"경기도 평택시 안중읍 송담*로 **, ***호 (힐스테이트 송담)",17941,01,영업/정상,,,,3.3
㈜코리아세븐 방화삼익점,,183558.654942027,452761.493153691,2026-05-22 03:03:03,U,13,영업중,2026-05-21 11:48:07,,2021-05-04,,서울특별시 강서구 방화동 *** 방화*단지아파트,PHMG120213150037047000099,3150000,"서울특별시 강서구 방화대로**가길 **, 상가동  ***,***호 (방화동, 방화*단지아파트)",07513,01,영업/정상,,,,
세븐일레븐 평택서정3호점,,204914.68590361,395011.446713493,2026-05-22 03:03:03,U,13,영업중,2026-05-21 18:50:58,,2021-05-08,,경기도 평택시 서정동 ***-**,PHMG120213910165047000020,3910000,"경기도 평택시 정암로 **, *층 (서정동)",17783,01,영업/정상,,,,10
(주)코리아세븐 발산본점,,185693.810190204,450792.279496426,2026-05-22 03:03:03,U,13,영업중,2026-05-21 11:51:10,,2023-06-26,,서울특별시 강서구 등촌동 ***-*,PHMG120233150037047000157,3150000,"서울특별시 강서구 강서로 ***, *층 ***호 (등촌동)",07591,01,영업/정상,,,,
세븐일레븐 평택신장4호점,,204492.773177329,397804.956904812,2026-05-22 03:03:03,U,13,영업중,2026-05-21 19:04:26,,2021-05-08,,경기도 평택시 신장동 ***-*,PHMG120213910165047000027,3910000,경기도 평택시 신장*로**번길 * (신장동),17758,01,영업/정상,,,,10
