영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,세븐일레븐 신사대로점,편의점,,202195.828858956,446311.052364766,2026-05-22 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-21 11:05:36,2017-11-27,3.30,135-890,서울특별시 강남구 신사동 561-31 신웅타워2,N,,3220000-104-2017-00778,,3220000,"서울특별시 강남구 도산대로 157, 1층 (신사동)",06037,01,영업/정상,편의점,,,,
,,밀크컨셉 인천석바위시장점,아이스크림,2026-05-21,172693.248494423,439503.313559406,2026-05-22 03:03:03,U,02,폐업,10.4,,,,,,,,,2026-05-21 13:19:35,2025-05-13,10.40,,인천광역시 미추홀구 주안동 1583-5,N,,3510500-104-2025-00089,,3510500,"인천광역시 미추홀구 구월로8번길 17, 1층 B호 (주안동)",22146,03,폐업,아이스크림,,,,
,,세븐일레븐 등촌청림점,편의점,,187197.468812217,450519.999405521,2026-05-22 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-21 10:42:20,2023-08-03,3.30,157-840,서울특별시 강서구 등촌동 641-11 청림오피스텔 104호,N,,3150000-104-2023-00187,,3150000,"서울특별시 강서구 공항대로45길 44, 청림오피스텔 1층 104호 (등촌동)",07569,01,영업/정상,편의점,02-3284-8112,,,상수도전용
,,수플티,기타 휴게음식점,,205273.931816708,420610.782510294,2026-05-22 03:03:03,U,01,영업,44.81,,,,,,,,,2026-05-21 10:03:53,2019-12-20,44.81,443-280,경기도 수원시 영통구 하동 1016-1 광교 SK VIEW Lake,N,,5610000-104-2019-00270,,3740000,"경기도 수원시 영통구 법조로 25, 광교 SK VIEW Lake B1층 B120호 (하동)",16514,01,영업/정상,기타 휴게음식점,,,,
,,세븐일레븐 죽전점,기타 휴게음식점,,209883.939853946,425003.128300477,2026-05-22 03:03:03,U,01,영업,6.6,,,,,,,,,2026-05-21 16:47:41,2015-12-16,6.60,448-803,경기도 용인시 수지구 죽전동 451-5 104호,N,,5640000-104-2015-00166,,4050000,"경기도 용인시 수지구 대지로 20 (죽전동, 104호)",16873,01,영업/정상,기타 휴게음식점,,,,
주택가주변,,씨유심곡그랜드,편의점,,179991.275631013,441617.68060489,2026-05-22 03:03:03,U,01,영업,5.8,,,,,,,,,2026-05-21 11:15:47,2015-01-20,5.80,,"경기도 부천시 소사구 심곡본동 806-8 ,1층일부",N,,3881000-104-2015-37718,,3860000,"경기도 부천시 소사구 심곡로 84, 1층일부호 (심곡본동)",14747,01,영업/정상,편의점,032-664-7774,,,상수도전용
,,모멘토베이크,커피숍,,218234.822842623,471902.412486763,2026-05-22 03:03:03,U,01,영업,867.82,,,,,,,,,2026-05-21 16:48:48,2025-10-24,867.82,472-868,"경기도 남양주시 진접읍 팔야리 733-1 늘봄가든 1층일부, 1층외부장소",N,,3990000-104-2025-00194,,3990000,"경기도 남양주시 진접읍 금강로 1845, 늘봄가든 1층일부, 1층외부장소",12018,01,영업/정상,커피숍,031-572-7394,,,상수도전용
,,세븐일레븐진접해밀점,편의점,2026-05-21,216302.855277773,467857.447136656,2026-05-22 03:03:03,U,02,폐업,3.3,,,,,,,,,2026-05-21 11:38:55,2024-05-09,3.30,472-861,경기도 남양주시 진접읍 금곡리 961 남양휴튼아파트 1111동 106호,N,,3990000-104-2024-00115,,3990000,"경기도 남양주시 진접읍 해밀예당1로 47, 남양휴튼아파트 1111동 106호",12056,03,폐업,편의점,,,,
,,지원 PC방(G1 PC방),기타 휴게음식점,,212392.841905689,455353.550867016,2026-05-22 03:03:03,U,01,영업,36,,,,,,,,,2026-05-21 13:59:20,2025-10-13,36.00,471-815,경기도 구리시 수택동 404-7 한국씨티은행,N,,3980000-104-2025-00115,,3980000,"경기도 구리시 검배로 4, 한국씨티은행 지하1층 (수택동)",11928,01,영업/정상,기타 휴게음식점,,,,
,,꽃랑,일반조리판매,,180181.465,473765.435,2026-05-22 03:03:03,U,01,영업,135.64,,,,,,,,,2026-05-21 13:48:50,2017-06-08,135.64,413-803,경기도 파주시 아동동 351-8 김혜숙꽃플라워,N,,4060000-104-2017-00138,,4060000,"경기도 파주시 새꽃로 213, 1층 일부 및 2층 일부 (아동동)",10930,01,영업/정상,일반조리판매,,,,
,,세븐일레븐 의왕디오네점,편의점,,198569.846625125,432755.790627251,2026-05-22 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-21 10:10:00,2020-07-22,3.30,437-120,경기도 의왕시 포일동 663-1 포일디오네,N,,4030000-104-2020-00051,,4030000,"경기도 의왕시 봇들로 34, 포일디오네 108호 (포일동)",16004,01,영업/정상,편의점,02-3284-8116,,,
,,어쎔블,커피숍,,203806.834817172,471769.652468358,2026-05-22 03:03:03,U,01,영업,34.13,,,,,,,,,2026-05-21 13:47:23,2019-10-28,34.13,480-804,경기도 의정부시 가능동 197-99,N,,3820000-104-2019-00214,,3820000,"경기도 의정부시 가능로119번길 30, 지상1층 (가능동)",11678,01,영업/정상,커피숍,031-875-5249,,,상수도전용
,,(주)코리아세븐 뉴압구정로데오본점,편의점,,203362.776235296,447104.200510418,2026-05-22 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-21 11:11:51,2024-09-06,3.30,135-897,서울특별시 강남구 신사동 663-23 한주빌딩,N,,3220000-104-2024-00581,,3220000,"서울특별시 강남구 선릉로157길 14, 한주빌딩 1층 (신사동)",06018,01,영업/정상,편의점,,,,
,,(주)코리아세븐 구리벌말점,편의점,,212887.660087082,453568.323490471,2026-05-22 03:03:03,U,01,영업,3.3,,,,,,,,,2026-05-21 09:12:54,2021-01-19,3.30,471-060,경기도 구리시 토평동 564-5 서일빌딩,N,,3980000-104-2021-00005,,3980000,"경기도 구리시 벌말로 85, 서일빌딩 1층 (토평동)",11961,01,영업/정상,편의점,,,,
,,엠카페,푸드트럭,,185280.88157797,421578.196815357,2026-05-22 03:03:03,U,01,영업,6.05,,,,,,,,,2026-05-21 16:08:25,2022-09-26,6.05,426-791,경기도 안산시 상록구 사동 1271 한양대에리카(한양대학교(ERICA) 2022학년도 가을축제),N,,5550000-104-2022-00085,,3930000,"경기도 안산시 상록구 한양대학로 55, 한양대에리카(한양대학교(ERICA) 2022학년도 가을축제) (사동)",15588,01,영업/정상,푸드트럭,,,,
,,스타벅스 신압구정점,다방,,203149.98044786,447322.662585451,2026-05-22 03:03:03,U,01,영업,333,,,,,,,,,2026-05-21 16:23:18,2011-06-02,333.00,135-896,서울특별시 강남구 신사동 639-7 지상1~2층,Y,,3220000-104-2011-00241,,3220000,"서울특별시 강남구 언주로174길 29 (신사동,지상1~2층)",06017,01,영업/정상,다방,02-3015-1172,,,
,,조이쥬이(JOYJUI)(굿드림장애인작업장),일반조리판매,,205377.468127778,418137.288094922,2026-05-22 03:03:03,U,01,영업,74.97,,,,,,,,,2026-05-21 14:20:39,2025-09-11,74.97,443-822,경기도 수원시 영통구 원천동 246 에이스스마트윙 영통 지식산업센터,N,,5610000-104-2025-00200,,3740000,"경기도 수원시 영통구 삼성로 253, 에이스스마트윙 영통 지식산업센터 1층 113~114호 (원천동)",16521,01,영업/정상,일반조리판매,031-211-2982,,,상수도전용
,,돈워리독,기타 휴게음식점,,212779.876469791,454897.347809163,2026-05-22 03:03:03,U,01,영업,90,,,,,,,,,2026-05-21 13:45:29,2025-09-09,90.00,471-820,경기도 구리시 수택동 488-4 킴스하우징,N,,3980000-104-2025-00104,,3980000,"경기도 구리시 검배로 64, 킴스하우징 5층 일부호 (수택동)",11932,01,영업/정상,기타 휴게음식점,,,,
,,세븐일레븐 강서화곡삼화점,편의점,,185751.172605937,447769.752153258,2026-05-22 03:03:03,U,01,영업,6.6,,,,,,,,,2026-05-21 10:52:53,2016-06-10,6.60,157-890,서울특별시 강서구 화곡동 421-24 (지상 1층),N,,3150000-104-2016-00134,,3150000,"서울특별시 강서구 강서로15길 116, 1층 (화곡동, 1동)",07771,01,영업/정상,편의점,,,,상수도전용
,,세븐일레븐 신방화역점,일반조리판매,,183683.865091789,451893.458113307,2026-05-22 03:03:03,U,01,영업,6.6,,,,,,,,,2026-05-21 10:25:04,2016-04-12,6.60,157-220,서울특별시 강서구 방화동 867-0 길성그랑프리텔 (지상 1층) 8호,N,,3150000-104-2016-00069,,3150000,"서울특별시 강서구 방화대로 319, 1층 8호 (방화동, 1동 길성그랑프리텔)",07605,01,영업/정상,일반조리판매,02-2064-0417,,,상수도전용
