건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
0,자가,0,장충인(J C INN),여관업,,,,,200394.726560629,450973.574045068,2026-05-22 03:03:03,U,01,영업,,0,2026-05-21 13:25:11,2003-02-26,247.50,100-855,서울특별시 중구 장충동2가 12-6,N,,3010000-201-2003-00032,3010000,서울특별시 중구 동호로30길 42 (장충동2가),04617,01,영업/정상,여관업,,0,0,0,0,15
4,,1,잠모텔,여관업,,,,,188994.188904759,446989.957415383,2026-05-22 03:03:03,U,01,영업,,2,2026-05-21 16:06:27,1989-07-21,258.77,158-806,서울특별시 양천구 목동 406-316,N,,3140000-201-1989-00035,3140000,"서울특별시 양천구 신목로 119, 2~3층 (목동)",07999,01,영업/정상,여관업,02-2646-3577,2,0,3,0,16
0,,0,스테이 담연,여관업,,,,,191184.801116484,446615.612121017,2026-05-22 03:03:03,U,01,영업,,14,2026-05-21 13:54:49,2003-02-26,221.00,150-800,서울특별시 영등포구 당산동1가 160-3,N,,3180000-201-2003-00232,3180000,서울특별시 영등포구 영신로 157-2 (당산동1가),07267,01,영업/정상,여관업,26339267,0,0,0,0,0
16,임대,2,케이스테이(K-STAY),숙박업(생활),,,,,168002.178518945,439850.006485912,2026-05-22 03:03:03,U,01,영업,0,0,2026-05-21 13:34:20,2024-03-19,"1,487.23",,인천광역시 미추홀구 용현동 684 스마트 하우스K,N,0,3510500-214-2024-00001,3510500,"인천광역시 미추홀구 인주대로4번길 10, 스마트 하우스K 2~16층 일부호 (용현동)",22175,01,영업/정상,숙박업(생활),032-888-9777,2,0,16,0,53
5,자가,1,호텔 프라하(Hotel Praha),여관업,,,,,167680.995850256,439323.022148595,2026-05-22 03:03:03,U,01,영업,,0,2026-05-21 11:51:16,1998-05-01,657.07,,인천광역시 미추홀구 용현동 624-60,N,,3510500-201-1998-00005,3510500,인천광역시 미추홀구 토금북로 7 (용현동),22186,01,영업/정상,여관업,032-881-1616,1,0,5,0,28
0,자가,0,뉴라온다이어트캠프,숙박업 기타,,,,,239140.034270923,497504.874918587,2026-05-22 03:03:03,U,01,영업,0,0,2026-05-21 13:56:48,2017-03-27,"1,310.11",477-841,"경기도 가평군 북면 적목리 103-3 , 103-1, 103-2",N,1,4160000-201-2017-00001,4160000,"경기도 가평군 북면 가화로 2901, C,D,J,K동",12400,01,영업/정상,숙박업 기타,,1,0,2,0,42
0,임대,0,CC 호텔,여관업,,,,,190278.326901549,474542.545470137,2026-05-22 03:03:03,U,01,영업,,0,2026-05-21 17:07:56,2003-10-06,"1,079.82",413-851,경기도 파주시 광탄면 마장리 40-1,N,,4060000-201-2003-00015,4060000,경기도 파주시 광탄면 보광로 834,10952,01,영업/정상,여관업,031-949-6270,0,0,0,0,26
21,임대,1,르컬렉티브시흥웨이브파크,숙박업(생활),,,,,171647.654945784,424362.539311393,2026-05-22 03:03:03,U,01,영업,0,0,2026-05-21 16:33:40,2023-06-23,"14,360.09",429-450,경기도 시흥시 정왕동 2725,N,0,4010000-214-2023-00001,4010000,"경기도 시흥시 거북섬로 135, 시흥웨이브파크푸르지오시티 (정왕동)",15119,01,영업/정상,숙박업(생활),,1,1,21,1,273
15,,1,웨이브엠호텔 웨스트,숙박업(생활),,,,,171391.318195506,424301.97407736,2026-05-22 03:03:03,U,01,영업,0,0,2026-05-21 16:36:04,2024-02-20,"17,721.52",429-450,경기도 시흥시 정왕동 2731-1 웨이브엠 웨스트,N,0,4010000-214-2024-00001,4010000,"경기도 시흥시 거북섬로 112, 웨이브엠 웨스트 (정왕동)",15119,01,영업/정상,숙박업(생활),031-400-6213,0,0,0,0,127
12,자가,1,스타트리플쓰리,숙박업(생활),,,,,204773.489772345,397347.768230249,2026-05-22 03:03:03,U,01,영업,0,30,2026-05-21 10:41:40,2024-07-01,858.50,459-821,경기도 평택시 신장동 232-11,N,0,3910029-214-2024-00002,3910000,"경기도 평택시 송탄1로 52, 스타트리플쓰리 (신장동)",17761,01,영업/정상,숙박업(생활),,2,0,11,0,0
13,,2,라비안스테이,숙박업(생활),,,,,204775.582582603,397398.63082502,2026-05-22 03:03:03,U,01,영업,1,0,2026-05-21 10:57:07,2025-10-16,"1,284.06",459-821,경기도 평택시 신장동 226-1,N,1,3910029-214-2025-00009,3910000,경기도 평택시 송탄1로 56 (신장동),17761,01,영업/정상,숙박업(생활),,12,1,1,2,39
